feat,n_cpu,n_mlx,max_delta,mean_delta,median_delta,n_close,n_far
0,128,127,4.900000005747529e-08,1.0561582672877988e-08,3.4999999842799667e-09,127,0
1,128,127,4.8999999835430685e-08,1.2051527553079324e-08,3.6000000203095794e-09,127,0
2,128,127,4.900000005747529e-08,9.979724410477816e-09,3.3000000509986194e-09,127,0
3,128,127,4.900000005747529e-08,1.0620393708937399e-08,3.4000000037615052e-09,127,0
4,128,127,4.900000005747529e-08,7.925141728457106e-09,2.7000000013543968e-09,127,0
5,128,127,4.799999997473492e-08,9.436229925625072e-09,3.5999999647984282e-09,127,0
6,128,127,4.599999980925418e-08,8.104015743862608e-09,3.3999999760059296e-09,127,0
7,128,127,4.999999969612645e-08,9.523125981202945e-09,3.000000026176508e-09,127,0
8,128,127,4.900000005747529e-08,7.86685038311382e-09,3.5000000675466936e-09,127,0
9,128,127,4.900000005747529e-08,1.0213448815465221e-08,3.4000000037615052e-09,127,0
10,128,127,4.9999999918171056e-08,9.783527546017072e-09,3.5999999647984282e-09,127,0
11,128,127,4.8999999835430685e-08,9.13003228773493e-09,3.5999999647984282e-09,127,0
12,128,127,5.000000014021566e-08,9.874228352857e-09,3.1000000066949696e-09,127,0
13,128,127,4.799999997473492e-08,9.759094470133174e-09,3.3000000509986194e-09,127,0
14,128,127,4.700000011403915e-08,8.045330710897585e-09,3.100000034450545e-09,127,0
15,128,127,4.700000033608376e-08,9.594354319140208e-09,3.100000034450545e-09,127,0
16,128,127,4.900000005747529e-08,8.554929134614794e-09,3.199999987213431e-09,127,0
17,128,127,4.900000005747529e-08,9.74345668894811e-09,3.4000000037615052e-09,127,0
18,128,127,4.8000000196779524e-08,8.025606301107559e-09,3.3000000509986194e-09,127,0
19,128,127,4.4000000087862645e-08,9.415346453944792e-09,3.299999995487468e-09,127,0
