seed,mlx_rmse,cpu_rmse,drift_pct
42,0.232996,0.24184993581809228,-3.6609213015263173
43,0.234066,0.23842143945614847,-1.8267817970076223
44,0.23002,0.24250443739681846,-5.148127403701786
45,0.233941,0.24195620733572265,-3.3126686122176077
46,0.23297,0.24061706461118612,-3.1781056857056367
47,0.233347,0.2440544750576401,-4.3873299414449365
48,0.232369,0.24233316207247435,-4.11176167028035
49,0.230973,0.2433574622597738,-5.089000413126395
50,0.22891,0.24138476366573225,-5.167999618653314
51,0.231354,0.2434224131943501,-4.957806898707634
